序号,词汇,核心词汇,核心词义,情感,词类,内容描述,11-医疗健康,品牌,平台,词源链接,负责人,关联核心词汇,关联核心词义,关联情感,关联词类,关联品类,关联品牌,关联平台 
50,凡尔赛,低调炫耀,用来形容一种既炫耀又装作不在意的态度,中性,旧词新用,当汽车与说唱碰撞 凡尔赛虎年开门红版再次玩出新花样# 我的凡尔赛时刻 # Rap # 春节 # 虎年,5-汽车出行,东风雪铁龙,抖音,1.76 08/07 ygB:/ C@U.YZ 当汽车与说唱碰撞 凡尔赛虎年开门红版再次玩出新花样# 我的凡尔赛时刻 # Rap # 春节 # 虎年 @东风雪铁龙  https://v.douyin.com/raeR886fs7Q/ 复制此链接，打开Dou音搜索，直接观看视频！,,低调炫耀,用来形容一种既炫耀又装作不在意的态度,中性,旧词新用,5-汽车出行,东风雪铁龙,抖音
51,有内味了,神似,有那种感觉了,中性,方言转化,有内味了。对对对是内味了~# 大司马 # otto # 2019名场面  ,8-旅游文娱,十万个梗百科,抖音,9.23 ULW:/ 06/16 k@c.Nj 十万个梗百科：有内味了。对对对是内味了~# 大司马 # otto # 2019名场面  https://v.douyin.com/-rn6GT4JuXc/ 复制此链接，打开Dou音搜索，直接观看视频！,,神似,有那种感觉了,中性,方言转化,8-旅游文娱,十万个梗百科,抖音
52,包治百病,购物解忧,买包可以治愈所有的不开心、或疾病,中性,旧词新用,早秋美拉德风包包合集来啦！#包治百病,3-服饰鞋帽,一张同学,抖音,1.20 06/11 Q@X.mQ eoQ:/  复制打开抖音，看看【时尚 可能有关】早秋美拉德风包包合集来啦！！# 包包 # 包治百病... https://v.douyin.com/idBLoN34/,,购物解忧,买包可以治愈所有的不开心、或疾病,中性,旧词新用,3-服饰鞋帽,一张同学,抖音
53,美拉德风,大地色系,以棕色、褐色等大地色系为主的穿搭风格,中性,外来词汇,早秋美拉德风包包合集来啦！#包治百病,3-服饰鞋帽,一张同学,抖音,1.20 06/11 Q@X.mQ eoQ:/  复制打开抖音，看看【时尚 可能有关】早秋美拉德风包包合集来啦！！# 包包 # 包治百病... https://v.douyin.com/idBLoN34/,,大地色系,以棕色、褐色等大地色系为主的穿搭风格,中性,外来词汇,3-服饰鞋帽,一张同学,抖音
54,老婆们,喜爱角色的集合,姐妹们，好姐妹,中性,旧词新用,关于春夏的6只小包包，这期怎么什么风格都有喔！,3-服饰鞋帽,韩安娜呀,抖音,3.51 Z@Z.mD 03/27 jca:/  复制打开抖音，看看【时尚 可能有关】关于春夏的6只小包包，这期怎么什么风格都有喔！？ ... https://v.douyin.com/idBN1egx/,,喜爱角色的集合,姐妹们，好姐妹,中性,旧词新用,3-服饰鞋帽,韩安娜呀,抖音
55,ins,时尚,内心情感或个人表达,中性,外来词汇,关于春夏的6只小包包，这期怎么什么风格都有喔！,3-服饰鞋帽,韩安娜呀,抖音,3.51 Z@Z.mD 03/27 jca:/  复制打开抖音，看看【时尚 可能有关】关于春夏的6只小包包，这期怎么什么风格都有喔！？ ... https://v.douyin.com/idBN1egx/,,时尚,内心情感或个人表达,中性,外来词汇,3-服饰鞋帽,韩安娜呀,抖音
56,crush,心动,暗恋或迷恋的人或事物,积极,外来词汇,关于春夏的6只小包包，这期怎么什么风格都有喔！,3-服饰鞋帽,韩安娜呀,抖音,3.51 Z@Z.mD 03/27 jca:/  复制打开抖音，看看【时尚 可能有关】关于春夏的6只小包包，这期怎么什么风格都有喔！？ ... https://v.douyin.com/idBN1egx/,,心动,暗恋或迷恋的人或事物,积极,外来词汇,3-服饰鞋帽,韩安娜呀,抖音
57,很chill,轻松,一个人表现得非常放松、冷静和自在,积极,外来词汇,关于春夏的6只小包包，这期怎么什么风格都有喔！,3-服饰鞋帽,韩安娜呀,抖音,3.51 Z@Z.mD 03/27 jca:/  复制打开抖音，看看【时尚 可能有关】关于春夏的6只小包包，这期怎么什么风格都有喔！？ ... https://v.douyin.com/idBN1egx/,,轻松,一个人表现得非常放松、冷静和自在,积极,外来词汇,3-服饰鞋帽,韩安娜呀,抖音
58,抄作业,复制粘贴,不用思考，直接照搬的形式,积极,旧词新用,关于春夏的6只小包包，这期怎么什么风格都有喔！,3-服饰鞋帽,韩安娜呀,抖音,3.51 Z@Z.mD 03/27 jca:/  复制打开抖音，看看【时尚 可能有关】关于春夏的6只小包包，这期怎么什么风格都有喔！？ ... https://v.douyin.com/idBN1egx/,,复制粘贴,不用思考，直接照搬的形式,积极,旧词新用,3-服饰鞋帽,韩安娜呀,抖音
59,hold 住,坚持,把握住，坚持住,积极,新造词汇,Hold住全场！,8-旅游文娱,都市小新,抖音,9.46 复制打开抖音，看看【都市小新的作品】Hold住全场!# 王者荣耀 # 整活 # 见怪不... https://v.douyin.com/oIk2VHTtRgk/ 02/27 ATl:/ m@Q.xf ,,坚持,把握住，坚持住,积极,新造词汇,8-旅游文娱,都市小新,抖音
60,好q,可爱,很可爱,积极,新造词汇,"Q在语言上通常指的是可爱的意思，常用在善意的交谈中。

也可以引申为岁数很小的意思，通常会说婴儿很Q。",8-旅游文娱,纯白之黑、,百度,https://wen.baidu.com/question/231832381.html?qbl=relate_question_0,,可爱,很可爱,积极,新造词汇,8-旅游文娱,纯白之黑、,百度
61,很拉,拉垮,用来形容一件事情或者一种状态让人感到无趣、烦躁或者厌恶。,消极,简略词汇,这部电影很拉，我看了半小时就不想继续了。,8-旅游文娱,湖北倍领科技,百度,https://zhidao.baidu.com/question/1507206659743488099.html,,拉垮,用来形容一件事情或者一种状态让人感到无趣、烦躁或者厌恶。,消极,简略词汇,8-旅游文娱,湖北倍领科技,百度
62,好rua,柔软,因为喜爱某种事物而去动手揉搓、抚摸、揉捏它的动作,积极,方言转换,这只猫好胖，看上去好软，好想rua啊！,8-旅游文娱,倍领趣闻,百度,https://zhidao.baidu.com/question/404109391716583925.html,,柔软,因为喜爱某种事物而去动手揉搓、抚摸、揉捏它的动作,积极,方言转换,8-旅游文娱,倍领趣闻,百度
63,妈见打,讨人厌,”如果妈妈见到的话绝对会打死你“缩写，形容一种及其欠揍的行为,消极,简略词汇,关于女生的钱包是怎么空的？,8-旅游文娱,是小鱼耶,抖音,9.74 CUY:/ 05/27 H@v.Sy  复制打开抖音，看看【时尚 可能有关】关于女生的钱包是怎么空的？# 小鱼海棠  https://v.douyin.com/idkEK5FA/,,讨人厌,”如果妈妈见到的话绝对会打死你“缩写，形容一种及其欠揍的行为,消极,简略词汇,8-旅游文娱,是小鱼耶,抖音
64,入了吗,建议购买,买了吗、入手了吗？,中性,新造词汇,关于女生的钱包是怎么空的？,8-旅游文娱,是小鱼耶,抖音,9.74 CUY:/ 05/27 H@v.Sy  复制打开抖音，看看【时尚 可能有关】关于女生的钱包是怎么空的？# 小鱼海棠  https://v.douyin.com/idkEK5FA/,,建议购买,买了吗、入手了吗？,中性,新造词汇,8-旅游文娱,是小鱼耶,抖音
65,气质ol,自信优雅,办公室女性所具备的优雅、自信、职业感和果断的气质,积极,新造词汇,TOP40位OL女神，气质、颜值身材的巅峰对决！,8-旅游文娱,打扮是个技术活,公众号,https://mp.weixin.qq.com/s/6YC0NtV0VxqhdlEGV5d_5Q,,自信优雅,办公室女性所具备的优雅、自信、职业感和果断的气质,积极,新造词汇,8-旅游文娱,打扮是个技术活,公众号
66,碟后,游泳很优秀,蝶泳皇后,积极,新造词汇,"#张雨霏夺金##张雨霏50米蝶泳金牌##张雨霏六冠王# #中国游泳队刷新亚运金牌纪录#
六冠王霏霏！！！霏宝实力挥翅，蝶后名不虚传！！[打call][打call][打call]
刚刚结束的女子50m蝶泳中霏宝以25秒10再次夺金！@o张雨霏o 你的努力再一次得到了见证！
这也是霏霏本届亚运会最后一场比赛，祝贺霏霏在本届亚运会中取得圆满的成绩！每一份胜利背后都是无尽汗水，她说要让实力配得上自己的野心，我直接后空翻三周再敬个礼啊！！[开学季][开学季][开学季]
 评论区为霏霏打call！抽6个宝送出盼盼小礼物！和霏宝#一起炫漂亮赢# 一起过中秋！
#张雨霏[超话]##盼盼食品[超话]#",1-餐饮食品,盼盼食品,微博,"https://weibo.com/1833203952/4951393079656664
",,游泳很优秀,蝶泳皇后,积极,新造词汇,1-餐饮食品,盼盼食品,微博
67,后空翻三周敬礼,尊重,猪猪侠主题曲，后空翻三周后再敬礼，表示精力旺盛,积极,新造词汇,"六冠王霏霏！！！霏宝实力挥翅，蝶后名不虚传！！[打call][打call][打call]
刚刚结束的女子50m蝶泳中霏宝以25秒10再次夺金！@o张雨霏o 你的努力再一次得到了见证！
这也是霏霏本届亚运会最后一场比赛，祝贺霏霏在本届亚运会中取得圆满的成绩！每一份胜利背后都是无尽汗水，她说要让实力配得上自己的野心，我直接后空翻三周再敬个礼啊！！[开学季][开学季][开学季]
 评论区为霏霏打call！抽6个宝送出盼盼小礼物！和霏宝#一起炫漂亮赢# 一起过中秋！
#张雨霏[超话]##盼盼食品[超话]#",1-餐饮食品,盼盼食品,微博,"https://weibo.com/1833203952/4951393079656664
",,尊重,猪猪侠主题曲，后空翻三周后再敬礼，表示精力旺盛,积极,新造词汇,1-餐饮食品,盼盼食品,微博
68,嗨皮,开心,happy音译，指开心快乐,积极,外来词汇,"""早上好，宝贝们[抱一抱]
小元马上要迎来42岁生日，邀请大家来给我庆生哦~🎉
呜呜呜……原来我都这么“老”了，Anyway，过生日嘛，就是要开心，
1⃣️发视频/图文祝福❗带话题#元祖生日快乐# ，get蛋糕✅
2⃣️4月25日18：00还有线下生日Party哦❗来元祖门店送祝福，小元请大家吃蛋糕，会员们还可以领限量伴手礼~期待和大家一起嗨皮[打call]
#六大名菜粽##元祖42周岁啦##元祖食品[超话]#""
",1-餐饮食品,元祖食品,微博,"https://weibo.com/2043174307/4892512730484944
",,开心,happy音译，指开心快乐,积极,外来词汇,1-餐饮食品,元祖食品,微博
69,打call,支持,表达自己的喜欢,积极,字母词汇,"""早上好，宝贝们[抱一抱]
小元马上要迎来42岁生日，邀请大家来给我庆生哦~🎉
呜呜呜……原来我都这么“老”了，Anyway，过生日嘛，就是要开心，
1⃣️发视频/图文祝福❗带话题#元祖生日快乐# ，get蛋糕✅
2⃣️4月25日18：00还有线下生日Party哦❗来元祖门店送祝福，小元请大家吃蛋糕，会员们还可以领限量伴手礼~期待和大家一起嗨皮[打call]
#六大名菜粽##元祖43周岁啦##元祖食品[超话]#""
",1-餐饮食品,元祖食品,微博,"https://weibo.com/2043174307/4892512730484944
",,支持,表达自己的喜欢,积极,字母词汇,1-餐饮食品,元祖食品,微博
70,果燃痛快,确实畅快,六种果香馥郁的热带水果，成就风味十足的柠檬冰红茶，经典登场,积极,新造词汇,"[2023]果燃痛快！@康师傅冰红茶 热带风味品牌代言人@程潇 微信红包封面来啦！👇 保存图片 👇  打开微信，识别图中二维码，即刻领取红包封面～❤️ 可以在给小伙伴发红包的时候使用哦～ 
",1-餐饮食品,康师傅饮品,微博,"https://weibo.com/5412419217/4859978373926393
",,确实畅快,六种果香馥郁的热带水果，成就风味十足的柠檬冰红茶，经典登场,积极,新造词汇,1-餐饮食品,康师傅饮品,微博
71,更适合中国宝宝体质,本土化适应,声称其配方和成分更符合中国婴幼儿的生理特征,中性,旧词新用,"""🎁｜更适合中国宝宝体质的摸鱼技巧大全
@嗨体 摸鱼就要抬头摸，嗨体一下，和颈纹说拜拜！@TheAlley鹿角巷 摸鱼划水被发现，抬头假装喝奶茶。9月30日，揪1位宝子送嗨体颈膜+鹿角巷公仔礼盒1份#100种抬头摸鱼姿势#  http://t.cn/A6OOCRBY""
",1-餐饮食品,鹿角巷,微博,"https://weibo.com/6331527041/4947635804570591
",,本土化适应,声称其配方和成分更符合中国婴幼儿的生理特征,中性,旧词新用,1-餐饮食品,鹿角巷,微博
72,摸鱼,偷懒怠工,偷懒、不认真的行为,中性,旧词新用,"""🎁｜更适合中国宝宝体质的摸鱼技巧大全
@嗨体 摸鱼就要抬头摸，嗨体一下，和颈纹说拜拜！@TheAlley鹿角巷 摸鱼划水被发现，抬头假装喝奶茶。9月30日，揪1位宝子送嗨体颈膜+鹿角巷公仔礼盒1份#100种抬头摸鱼姿势#  http://t.cn/A7OOCRBY""
",1-餐饮食品,鹿角巷,微博,"https://weibo.com/6331527041/4947635804570591
",,偷懒怠工,偷懒、不认真的行为,中性,旧词新用,1-餐饮食品,鹿角巷,微博
73,划水,敷衍应对,懒散、不负责任,中性,旧词新用,"""🎁｜更适合中国宝宝体质的摸鱼技巧大全
@嗨体 摸鱼就要抬头摸，嗨体一下，和颈纹说拜拜！@TheAlley鹿角巷 摸鱼划水被发现，抬头假装喝奶茶。9月30日，揪1位宝子送嗨体颈膜+鹿角巷公仔礼盒1份#100种抬头摸鱼姿势#  http://t.cn/A8OOCRBY""
",1-餐饮食品,鹿角巷,微博,"https://weibo.com/6331527041/4947635804570591
",,敷衍应对,懒散、不负责任,中性,旧词新用,1-餐饮食品,鹿角巷,微博
74,康康,看看,看看,中性,方言转化,"""迟到的色感挑战之蜂花1.0版！！
让花花康康谁是绝对色感
评论区💬公布答案+抽一人送图一叭~  http://t.cn/A6OcQSO3 ""
",8-旅游文娱,爱奇艺,微博,"https://weibo.com/5822597816/4940366022707484
",,看看,看看,中性,方言转化,8-旅游文娱,爱奇艺,微博
75,内卷,非理性竞争,"
在资源有限的情况下，社会或经济系统内部的竞争加剧，导致边际效用递减和没有实质性的发展",消极,旧词新用,"拒绝内卷[比耶] 
",8-旅游文娱,芒果娱乐,微博,https://weibo.com/1591169702/Q634fDC9z?refer_flag=1001030103_,,非理性竞争,"
在资源有限的情况下，社会或经济系统内部的竞争加剧，导致边际效用递减和没有实质性的发展",消极,旧词新用,8-旅游文娱,芒果娱乐,微博
76,爱肉星人,嗜肉者,喜欢吃肉的一类人,积极,简略词汇,"""别以为我们不知道，你们天天都在讨论巴比是杭州特产[并不简单]
既然这样，我们就出一个杭州特产包子吧
即日起，巴比的东坡肉包正式在杭州门店上市啦[打call]
大块五花肉，香糯又解馋！不油不腻，爱肉星人有福啦！一顿饭狂炫仨[干饭人]
关注并@巴比食品官方，带话题#巴比真的出杭州特产了#  @2位好友 ，说说你希望什么杭州名菜做成包子，9月6日，我们将抽取20位幸运的宝子@微博抽奖平台 ，送上巴比周边杭州限定帆布袋1个[锦鲤附体]""
",1-餐饮食品,巴比食品官方,微博,"https://weibo.com/2595093904/4939643413594324
",,嗜肉者,喜欢吃肉的一类人,积极,简略词汇,1-餐饮食品,巴比食品官方,微博
77,狅炫,猛吃,疯狂进食,中性,旧词新用,"""别以为我们不知道，你们天天都在讨论巴比是杭州特产[并不简单]
既然这样，我们就出一个杭州特产包子吧
即日起，巴比的东坡肉包正式在杭州门店上市啦[打call]
大块五花肉，香糯又解馋！不油不腻，爱肉星人有福啦！一顿饭狂炫仨[干饭人]
关注并@巴比食品官方，带话题#巴比真的出杭州特产了#  @2位好友 ，说说你希望什么杭州名菜做成包子，9月6日，我们将抽取20位幸运的宝子@微博抽奖平台 ，送上巴比周边杭州限定帆布袋1个[锦鲤附体]""
",1-餐饮食品,巴比视频官方,微博,"https://weibo.com/2595093904/4939643413594324
",,猛吃,疯狂进食,中性,旧词新用,1-餐饮食品,巴比视频官方,微博
